Telefone,Cidade,Bairro,Nome,Website,E-mail,E-mail2
+55 47 3311-4288,itajai,Centro,Barbearia VIP Itajaí,https://www.instagram.com/barbeariavipitajai/,,
+55 47 98495-1957,itajai,Centro,Barbearia Studio A - Social Club,,,
+55 47 3224-4332,itajai,Centro,Gajo Barber Shop Centro - Barbearia,,,
+55 47 99106-2005,itajai,Centro,Barbearia Distrito Conceito,https://wa.me/message/6KLJF2ZHB3QKM1,,
+55 47 99626-1171,itajai,Centro,Barbearia Brooklyn 1869,http://instagram.com/1869brooklyn,,
+55 47 99744-2494,itajai,Centro,Itajahy Barbearia - Centro,https://www.instagram.com/itajahybarbearia/,,
+55 47 99128-0464,itajai,Centro,Barbearia Cosmos,,,
+55 47 97400-0033,itajai,Centro,Barbearia Royal & Co,,,
+55 47 99649-6285,itajai,Centro,Barbearia Mr. Finger,https://wa.me/554796496285,,
+55 47 99746-5557,itajai,Centro,Wild barbers,https://www.facebook.com/wildbarbersbr/,,
+55 48 99152-4009,itajai,Centro,Pittarus - A Barbearia de Itajaí,http://bit.ly/Agendamento-jow,,
+55 47 99108-5777,itajai,Centro,Don Mezoni Barbearia,https://instagram.com/donmezoni_barbearia?igshid=YmMyMTA2M2Y=,,
+55 47 99772-8524,itajai,Centro,Barbearia Paulista,https://wa.me/c/554797728524,,
+55 47 98894-9314,itajai,Cidade Nova,Nei's Barber Shop,,,
+55 47 99766-2932,itajai,Cidade Nova,Barbearia do Marcio,https://www.instagram.com/barbeariadomarcio_,,
+55 47 99209-6291,itajai,Cidade Nova,Barbearia leandro,,,
+55 47 99683-2083,itajai,Cidade Nova,Barbearia lessa,https://www.facebook.com/lessa.barbeiro,,
+55 47 3248-5330,itajai,Cidade Nova,BARBEARIA DO LUIZ,,,
+55 47 98426-7463,itajai,Cidade Nova,Fratelli's Barbearia,https://instagram.com/fratellisbarbearia?igshid=YmMyMTA2M2Y=,,
+55 47 99795-4969,itajai,Cidade Nova,BARBEARIA GRATIDÃO,,,
+55 47 98850-8973,itajai,Cidade Nova,Barbearia Soulblack,https://api.whatsapp.com/send?phone=5547988508973&text=Opa!%20Tudo%20bem!,,
+55 47 99921-7467,itajai,Cidade Nova,D&S barbearia e tranças,,,
+55 47 99689-8312,itajai,Cidade Nova,Barbearia Do Bahia,,,
+55 47 98436-8864,itajai,Cidade Nova,BARBEARIA CENTRAL,,,
undefined,itajai,Cidade Nova,Barbearia Matos,,,
+55 47 99968-6797,itajai,Cidade Nova,Chieta Barbeiro,,,
+55 47 99908-2051,itajai,Cidade Nova,Barbearia Sacerdote,https://www.instagram.com/barbearia_sacerdote12?igsh=MWxjYXdrcGVqNnN1MQ==,,
+55 47 99283-9207,itajai,Cidade Nova,Toninho Barbearia,,,
+55 47 98862-8814,itajai,Cidade Nova,L7 barbearia,https://instagram.com/l7_barbeariaa?igshid=ZDdkNTZiNTM=,,
undefined,itajai,Cidade Nova,BARBEARIA DO CARIOCA,,,
+55 47 99733-8872,itajai,Cidade Nova,Impulsebarbertattoo,,,
+55 47 98851-5254,itajai,São Vicente,Barbearia GOOD Barber Shop,,,
+55 47 99234-4671,itajai,São Vicente,Barbearia do Cesinha,,,
+55 47 99661-2310,itajai,São Vicente,Barbearia Black & White,,,
+55 47 99712-0840,itajai,São Vicente,MÁRCIO SANTOS BARBEARIA,,,
+55 47 99195-6591,itajai,São Vicente,Barbearia Brazilian Storm,https://www.instagram.com/brazilianstormbarber,,
+55 47 99941-1731,itajai,São Vicente,Roots Barber Shop,,,
+55 47 99909-8173,itajai,São Vicente,Barbearia San Vicent,,,
+55 47 3224-0926,itajai,São Vicente,Barbearia 902,,,
+55 47 99756-6386,itajai,São Vicente,Barbearia Fabricio,,,
+55 47 99713-1435,itajai,São Vicente,Zero1 Barbershop,,,
+55 47 99757-0192,itajai,São Vicente,KG Barbearia,https://instagram.com/kg_barber_shop_club?utm_medium=copy_link,,
undefined,itajai,São Vicente,Barbearia + Barba,http://www.facebook.com/barbeariamaisbarbaoficial,,
+55 47 99645-8832,itajai,São Vicente,Barbearia Dolly corte,,,
+55 47 99952-5154,itajai,Dom Bosco,Barbearia Officina Da Barba,,,
+55 47 99758-5020,itajai,Dom Bosco,Barbearia Triunfo,,,
+55 47 99787-1441,itajai,Dom Bosco,Barbearia Coutinho,,,
+55 47 99284-4625,itajai,Dom Bosco,Gandolf Barbearia,https://www.instagram.com/gandolfbarbershop/,,
+55 41 98851-8219,itajai,Dom Bosco,ArtCorts Barbearia,,,
+55 47 99934-9600,itajai,Dom Bosco,Ben-Hur barbearia e galeria,,,
+55 47 99752-1807,itajai,Dom Bosco,BARBEARIA LOFTY Atendimento por ordem de chegada,,,
undefined,itajai,Dom Bosco,Barbearia Machado,,,
+55 47 98851-5254,itajai,Dom Bosco,Barbearia GOOD Barber Shop,,,
+55 47 99106-2005,itajai,Dom Bosco,Barbearia Distrito Conceito,https://wa.me/message/6KLJF2ZHB3QKM1,,
+55 47 99203-4579,itajai,Dom Bosco,Barbearia Big Boss,,,
+55 47 99902-2885,itajai,Dom Bosco,ByGod Barbershop,https://www.instagram.com/bygod_barbershop/,,
+55 47 99766-2932,itajai,Dom Bosco,Barbearia do Marcio,https://www.instagram.com/barbeariadomarcio_,,
+55 47 99785-9191,itajai,Dom Bosco,TJ Barbearia - Itajaí,https://www.instagram.com/thiagobbarber/,,
+55 47 3311-4288,itajai,Dom Bosco,Barbearia VIP Itajaí,https://www.instagram.com/barbeariavipitajai/,,
+55 47 3247-2908,itajai,Fazenda,Barbearia Fazenda,,,
+55 47 3224-4332,itajai,Fazenda,Gajo Barbearia Shop Fazenda,,,
+55 47 98495-1957,itajai,Fazenda,Barbearia Studio A - Social Club,,,
+55 47 99679-1191,itajai,Fazenda,Studio Robson,https://instagram.com/studiurobson_,,
+55 47 98854-6919,itajai,Fazenda,Hostin Store,https://www.instagram.com/hostinstore/,,
+55 83 99942-5090,itajai,Fazenda,Barbearia Corte Nobre 💈,https://www.instagram.com/barbearia_corte_nobree/profilecard/?igsh=MXJieGVnenpoYndpZw==,,
+55 47 99772-8524,itajai,Fazenda,Barbearia Paulista,https://wa.me/c/554797728524,,
+55 47 99916-0305,itajai,Fazenda,Barbearia Sangue bom 047,,,
+55 47 3311-4288,itajai,Fazenda,Barbearia VIP Itajaí,https://www.instagram.com/barbeariavipitajai/,,
+55 47 99752-1807,itajai,Fazenda,BARBEARIA LOFTY Atendimento por ordem de chegada,,,
+55 47 98894-9314,itajai,Fazenda,Nei's Barber Shop,,,
+55 47 99122-4892,Itapema,Centro,Dom German,,,
+55 48 99961-8491,Itapema,Centro,Barbearia da Skina,https://www.instagram.com/barbeariadaskina_/,,
+55 47 99908-6646,Itapema,Centro,Barbearia Br-Zinho barbeiro Shop,https://www.instagram.com/br_zinho_barbershop?igsh=N3RmbXFtZnllMzc1,,
+55 47 99917-1160,Itapema,Centro,Barbearia BlackBarber,,,
+55 47 99657-5146,Itapema,Centro,Barbearia VIP Life Studio,https://www.instagram.com/viplife_studio?igsh=NXd0ZXppNHpmdmJy&utm_source=qr,,
+55 47 99619-6319,Itapema,Centro,Caioduscorte Barbearia,,,
+55 47 99244-9377,Itapema,Centro,Barbearia Franco Aparatto,,,
+55 47 99199-3871,Itapema,Centro,Barbearia Duas Rodas - Matriz,https://www.instagram.com/barbearia_duas.rodas/,,
+55 47 99625-2030,Itapema,Centro,Barbearia JB,,,
+55 47 99182-7009,Itapema,Centro,Barbearia Seven,https://instagram.com/sevenbarbearia_7?igshid=YmMyMTA2M2Y=,,
+55 47 99173-4427,Itapema,Centro,Barbearia Sr. Menezes,https://instagram.com/sr.meenezees?utm_medium=copy_link,,
+55 47 99282-3484,Itapema,Centro,Greff Barbearia,,,
+55 47 98438-3854,Itapema,Centro,Barbearia Black Sheep Itapema,,,
+55 47 99124-4168,Itapema,Meia Praia,Barbearia Junior's Meia Praia,https://www.instagram.com/barbeariajuniorsmeiapraia/,,
+55 47 99172-7085,Itapema,Meia Praia,Barbearia VIP Meia Praia,https://wa.me/5547991727085,,
+55 47 99729-2046,Itapema,Meia Praia,Mans'space Barbearia,https://api.whatsapp.com/send?phone=5547997292046&text=Ol%C3%A1%20vi%20seu%20contato%20no%20Google.,,
+55 47 98438-3854,Itapema,Meia Praia,Barbearia Black Sheep Itapema,,,
+55 47 99235-0651,Itapema,Meia Praia,Studio Dilson Barbearia - Meia Praia,https://www.instagram.com/std_meiapraia?igsh=aTFla3c5Z2dwY3Zn,,
+55 47 3269-1805,Itapema,Meia Praia,Baritá Barbearia,http://instagram.com/baritabarbershop,,
+55 47 3366-8573,Itapema,Meia Praia,Barbearia Rei Bigode,,,
+55 47 99171-4936,Itapema,Meia Praia,Barbearia Yuri's Barber,https://www.instagram.com/yurisbarber_shop/,,
+55 47 99639-6975,Itapema,Meia Praia,Imperium Barbearia,,,
+55 47 99181-5569,Itapema,Meia Praia,The Boys Barbearia,,,
+55 47 99269-4284,Itapema,Meia Praia,La Madre Barbearia,https://www.instagram.com/lamadrebarbershop/,,
+55 47 99163-7465,Itapema,Meia Praia,Marujo's Barbearia,https://wa.me/5547991637465,,
+55 47 99285-2140,Itapema,Meia Praia,Barbearia Bigodeira Itapema,,,
+55 47 99903-6157,Itapema,Meia Praia,Barbearia New Time,,,
+55 47 99934-0268,Itapema,Morretes,Mathiolo`s Barbearia - Unidade 1,http://instagram.com/barbeariadomathiolo/,,
+55 47 99194-0635,Itapema,Morretes,100 Luxo Barberia,,,
+55 47 99267-3279,Itapema,Morretes,Barbearia Dom Brocardo,,,
+55 47 99133-4395,Itapema,Morretes,JC Barbearia,,,
+55 47 99629-6468,Itapema,Morretes,Minair Studio de Beleza e Barbearia em Itapema,,,
+55 51 99864-5026,Itapema,Morretes,Barbearia cabral,,,
+55 47 99718-7573,Itapema,Morretes,Barbearia GW,,,
+55 47 99281-2141,Itapema,Morretes,Barbearia Bacano,,,
+55 47 99610-5064,Itapema,Morretes,Brother's Barbearia,,,
+55 47 99934-0268,Itapema,Morretes,Mathiolo`s Barbearia - Unidade 2,http://instagram.com/barbeariadomathiolo/,,
+55 47 99945-2000,Itapema,Morretes,Barbearia RF,,,
+55 47 99102-8900,Itapema,Morretes,Studio-w Barbearia,,,
+55 47 99222-1921,Itapema,Morretes,Barbearia Raiz,,,
+55 47 98891-1994,Itapema,Morretes,Riva´s Barbearia,,,
+55 47 99653-1556,Itapema,Ilhota,Barbearia Andrade,,,
+55 47 99956-3767,Itapema,Ilhota,Barbearia Hüsken,https://whatsapp.com/channel/0029Vb6LXFP4tRrqUn8BlP1j,,
+55 47 99199-3871,Itapema,Ilhota,Barbearia Duas Rodas - Matriz,https://www.instagram.com/barbearia_duas.rodas/,,
+55 47 99122-4892,Itapema,Ilhota,Dom German,,,
+55 48 99961-8491,Itapema,Ilhota,Barbearia da Skina,https://www.instagram.com/barbeariadaskina_/,,
+55 47 99137-6799,Itapema,Ilhota,BARBEARIA DO KAKO,,,
+55 47 98468-1191,Itapema,Ilhota,Barbearia Litoral,,,
+55 47 99972-7937,Itapema,Ilhota,Academia do corte47,,,
+55 47 99908-6646,Itapema,Ilhota,Barbearia Br-Zinho barbeiro Shop,https://www.instagram.com/br_zinho_barbershop?igsh=N3RmbXFtZnllMzc1,,
+55 47 99657-5146,Itapema,Ilhota,Barbearia VIP Life Studio,https://www.instagram.com/viplife_studio?igsh=NXd0ZXppNHpmdmJy&utm_source=qr,,
+55 47 99917-1160,Itapema,Ilhota,Barbearia BlackBarber,,,
+55 47 99619-6319,Itapema,Ilhota,Caioduscorte Barbearia,,,
+55 47 99908-6646,Itapema,Canto da Praia,Barbearia Br-Zinho barbeiro Shop,https://www.instagram.com/br_zinho_barbershop?igsh=N3RmbXFtZnllMzc1,,
+55 47 99917-1160,Itapema,Canto da Praia,Barbearia BlackBarber,,,
